File Name,Size (KB),Type,Modified Time,Path
24 june 2025 arjun_resume.pdf,565.57,.pdf,2025-06-25 16:39:18.993037,C:\Users\User\OneDrive\Documents\24 june 2025 arjun_resume.pdf
Apocolypse Food Prep - Relationship Tutorial.xlsx,14.68,.xlsx,2025-06-24 15:07:19.511186,C:\Users\User\OneDrive\Documents\Apocolypse Food Prep - Relationship Tutorial.xlsx
cricket_data.pbix,37.82,.pbix,2025-06-22 10:06:55.653684,C:\Users\User\OneDrive\Documents\cricket_data.pbix
dashboard_of_sales_data.pbix,105.56,.pbix,2025-06-29 19:50:08.978550,C:\Users\User\OneDrive\Documents\dashboard_of_sales_data.pbix
Data Cleaning Excel Tutorial (1).xlsx,15.19,.xlsx,2025-06-23 08:34:20.670473,C:\Users\User\OneDrive\Documents\Data Cleaning Excel Tutorial (1).xlsx
desktop.ini,0.41,.ini,2025-06-27 21:24:47.588464,C:\Users\User\OneDrive\Documents\desktop.ini
Essential_DAX_Queries_PowerBI_2025.docx,37.72,.docx,2025-06-24 16:30:33.085739,C:\Users\User\OneDrive\Documents\Essential_DAX_Queries_PowerBI_2025.docx
ev databases.pbix,212.31,.pbix,2025-06-29 19:46:30.094814,C:\Users\User\OneDrive\Documents\ev databases.pbix
google_dataset.pbix,589.01,.pbix,2025-06-30 17:58:01.711659,C:\Users\User\OneDrive\Documents\google_dataset.pbix
GOOGLE_TOOLTIP.pbix,584.59,.pbix,2025-07-01 17:39:15.631550,C:\Users\User\OneDrive\Documents\GOOGLE_TOOLTIP.pbix
ICC worldcup 22.pbix,966.66,.pbix,2025-06-26 18:09:47.354638,C:\Users\User\OneDrive\Documents\ICC worldcup 22.pbix
MySQL Connection.pdf,98.56,.pdf,2025-06-30 20:14:21.452402,C:\Users\User\OneDrive\Documents\MySQL Connection.pdf
netflix_cleaned_dataset.xlsx,1241.48,.xlsx,2025-06-23 22:41:24.113324,C:\Users\User\OneDrive\Documents\netflix_cleaned_dataset.xlsx
netflix_Complete_dataset.csv,1467.75,.csv,2025-06-22 10:07:19.835169,C:\Users\User\OneDrive\Documents\netflix_Complete_dataset.csv
netflix_dashboard.pbix,1502.81,.pbix,2025-06-27 22:29:26.288329,C:\Users\User\OneDrive\Documents\netflix_dashboard.pbix
POWER BI DESKTOP PROJECT.docx,16.3,.docx,2025-06-25 22:16:31.000000,C:\Users\User\OneDrive\Documents\POWER BI DESKTOP PROJECT.docx
PRATICES.pbix,59.92,.pbix,2025-06-27 18:06:09.422214,C:\Users\User\OneDrive\Documents\PRATICES.pbix
sales_data.csv,102.62,.csv,2025-06-22 10:07:36.007664,C:\Users\User\OneDrive\Documents\sales_data.csv
sql database(acf).pbix,240.17,.pbix,2025-06-30 22:00:20.593778,C:\Users\User\OneDrive\Documents\sql database(acf).pbix
SQL project Advanced Customer Feedback Sentiment Tracker.docx,22.56,.docx,2025-06-28 18:34:18.611961,C:\Users\User\OneDrive\Documents\SQL project Advanced Customer Feedback Sentiment Tracker.docx
TATA_completion_certificate.pdf,164.12,.pdf,2025-06-27 13:48:11.758652,C:\Users\User\OneDrive\Documents\TATA_completion_certificate.pdf
try_formula.xlsx,12.87,.xlsx,2025-06-22 10:07:02.514584,C:\Users\User\OneDrive\Documents\try_formula.xlsx
Preferences.tps,0.05,.tps,2025-06-22 13:33:09.381104,C:\Users\User\OneDrive\Documents\My Tableau Repository\Preferences.tps
hyperd.log,85.38,.log,2025-06-26 10:02:16.414029,C:\Users\User\OneDrive\Documents\My Tableau Repository\Logs\hyperd.log
log.txt,490.04,.txt,2025-06-26 10:02:16.341145,C:\Users\User\OneDrive\Documents\My Tableau Repository\Logs\log.txt
log_1.txt,215.56,.txt,2025-06-22 13:34:04.288088,C:\Users\User\OneDrive\Documents\My Tableau Repository\Logs\log_1.txt
log_2.txt,230.33,.txt,2025-06-22 13:34:02.855350,C:\Users\User\OneDrive\Documents\My Tableau Repository\Logs\log_2.txt
tableau-error.marker,0.0,.marker,2025-06-22 13:33:21.251000,C:\Users\User\OneDrive\Documents\My Tableau Repository\Logs\tableau-error.marker
tabprotosrv_2025_06_26_10_02_07.txt,69.53,.txt,2025-06-26 10:02:07.203185,C:\Users\User\OneDrive\Documents\My Tableau Repository\Logs\tabprotosrv_2025_06_26_10_02_07.txt
